ID,Expert Name,Areas of Expertise,Other Expertise (Specify),Galen Experience Level,Chunk ID,Preference Score,Preferred Source,Left Translation,Right Translation,Time Spent (s),Comment,Completed At
80343e2b52d074a4,Expert_10,Greek Medicine,,5,1,-1,gemini,gemini,human2,63,I don't like the insertions in square brackets in Passage b.,2026-01-02T22:04:46.086Z
782bae1ffca15ee6,Expert_10,Greek Medicine,,5,6,-1,claude,claude,human1,74,,2026-01-02T22:04:46.086Z
d939bffbf3af2f5a,Expert_10,Greek Medicine,,5,4,0,neutral,human1,openai,46,,2026-01-02T22:04:46.086Z
3d3272150fd40bc3,Expert_10,Greek Medicine,,5,5,-1,gemini,gemini,human1,45,,2026-01-02T22:04:46.086Z
dbfd32d8f2fbcefb,Expert_10,Greek Medicine,,5,7,-1,claude,claude,human2,48,,2026-01-02T22:04:46.086Z
8a2a4d955e6c462e,Expert_10,Greek Medicine,,5,2,2,openai,human1,openai,36,,2026-01-02T22:04:46.086Z
e5b6ca010dc4538a,Expert_16,Galen,,7,2,0,neutral,human2,openai,6767,,2026-01-22T12:20:26.163Z
be2d87f07f92d722,Expert_01,Greek Medicine,,5,9,-2,human2,human2,openai,299,"the translation of trauma as trick is better; the less literal 'analogy of fire' at the end also better than 'image of fire' for eikon pyros. B also uses post-antique chemical terms (sulphur?). BTW: since I made a mistake and didn't save my results, I am now seeing this Greek passage for the second time in a week: I have to say that the AI (I suppose) translation has got much better, as I remember before one of the two was pretty awful, while neither of these is.   ",2026-01-04T11:48:45.219Z
d4b41d56b1fea463,Expert_01,Greek Medicine,,5,7,-2,gemini,gemini,human1,203,'Like earthenware' in A better than 'like shell' (which is a metaphor); 'superfluity is small' in B just meaningless; in the last para 'unwittingly hear something carelessly and erroneously'  also doesn't sound good and doesn't express the point.,2026-01-04T11:48:45.219Z
3916aa4e501f60e2,Expert_01,Greek Medicine,,5,2,0,neutral,claude,human1,713,"A understands 'diseased condition of autumn' which makes no sense; but the following sentence about comparative coldness is better translated in A actually; and the last para too.  In B (which does not translate krisis for no reason), it just doesn't flow very well and one needs to read it twice (apportion, conjunction are not very good choices in my view for dianemo, syzygia in this context)",2026-01-04T11:48:45.219Z
f3e095b08af65fd1,Expert_03,Other,,2,1,1,human2,openai,human2,118,"Passage A has a nicer flow and the idiom sounds better (it also interprets the text more), but for example in φιλοσόφων τε καὶ ἰατρῶν τοῖς ἀρίστοις, both categories are dependent on τοῖς ἀρίστοις, which is only correctly rendered by B. ",2026-01-05T13:10:14.819Z
63938a45cecae202,Expert_03,Other,,2,6,2,human2,claude,human2,491,I think B correctly uses ἤδη emphatically rather than temporarily. 'Irrational' reads weirdly considering Galen is making a neutral distinction here. I like the rendering of συμφύτῳ with connate rather than innate since it is biologically more apt and conveys the preposition. It is clunky to reuse cartilaginous to explain something called 'neuro-cartilaginous'.,2026-01-05T13:10:14.819Z
f5ccb86bbab44230,Expert_03,Other,,2,9,-1,gemini,gemini,human1,18,"Medication reads oddly, when Medea is not associated with healing, but drugs. It seems easier to conceive of a wall being smeared with sulphur than prepared with brimstone. ",2026-01-05T13:10:14.819Z
1f04706772105d51,Expert_03,Other,,2,2,0,neutral,openai,human2,131,,2026-01-05T13:10:14.819Z
fe10285530044880,Expert_03,Other,,2,4,-2,human2,human2,claude,288,It seems clunky to include the 'and' in every enumeration in B. δεῖ δὲ συνδραμεῖν ἐς ταὐτὸν ἐπὶ τοῦδε πολλὰ γνωρίσματα sounds more logical in A since Galen seems to be taking stock here rather than making another point about the mixtures coming together in man.,2026-01-05T13:10:14.819Z
9177edb9f9cf6dd7,Expert_03,Other,,2,8,1,human2,gemini,human2,111,"I think there might be a mistake in B, towards the middle of the passage, when the ξηρὸν is translated as 'hard'.I have never heard the name malacostracans used and believe crustaceans reads more naturally for the average reader.",2026-01-05T13:10:14.819Z
2473ed917109f540,Expert_03,Other,,2,5,1,openai,human2,openai,88,"B sounds more natural, e.g. 'handle', instead of 'dominate, as does the last sentence. 'Undigested vomitings' is very literal and clunky though.",2026-01-05T13:10:14.819Z
e8ff9a850c474e9f,Expert_03,Other,,2,7,-1,human2,human2,claude,91,"ὑποτέτακται is rendered better. I prefer 'palm' over 'the inner parts of the hands'. As in many other cases, I prefer to stay close to the original texts, so prefer the rendering of κρᾶσις as mixture rather than temperament.",2026-01-05T13:10:14.819Z
8d47053106ca6dda,Expert_03,Other,,2,3,1,gemini,human2,gemini,83,ὁτιοῦν is only reflected in B. ,2026-01-05T13:10:14.819Z
3f25c7a10d77e8ab,Expert_03,Other,,2,10,0,neutral,human2,openai,301,,2026-01-05T13:10:14.819Z
f327e3e74f5c6bdf,Expert_09,Greek Science; Other,,4,10,-1,gemini,gemini,human1,3875,"B was okay, but its word-choices sometimes don't seem plugged into the medical context of Galen, and it misconstrues a few phrases.

B translates εἰσάπαξ in a definitive sense, but A’s rendering of it as denoting immediacy fits the context better.
B translates ἐγκαιομένους as “burning,” but A’s “over-heated” fits the medical context better.
The way B renders ὡς φαρμάκοις in the phrase “παρ’ ὅλον μὲν τὸν χρόνον τῆς πέψεως ὡς φαρμάκοις” is ambiguous and confusing.
B’s rendering of οὐ χρὴ θαυμάζειν is imprecise.",2026-01-06T02:34:23.463Z
189b82dff3036098,Expert_09,Greek Science; Other,,4,4,0,neutral,human1,openai,3394,"Both seem okay.
But why does A translate ἄριστα κέκραται twice?",2026-01-06T02:34:23.463Z
3e555a9f17b73cee,Expert_09,Greek Science; Other,,4,1,2,claude,human2,claude,17,"I (once again) quibble with A for mixing the declension of ""krasis"" which they import as a technical term into English. Initially it is ""krasis"", then later it seems to become an invented first declension form, ""krasia"".
A translates ὁπόσαι τ’ εἰσὶ καὶ ὁποῖαι κατ’ εἴδη τε καὶ γένη διαιρουμένοις as “how many there are and of what kinds, divided according to class and kind”. I am not up on the literature to know whether “class and kind” or the “species and genera” of B is more in keeping with how most scholars handle εἴδη τε καὶ γένη, but A is made confusing by rendering ὁποῖαι as “of what KINDs”. The long sentence from which this clause is taken is also broken up in two in A’s translation, so we lose something of Galen’s style.
I prefer B’s “in the extreme” to A’s “completely” for ἄκρως.
In rendering ὑγρὸν μὲν καλούντων ἡμῶν, ἐν ᾧ πλείων ὑγρότητός ἐστι μοῖρα and the following clauses, A imports “part” as the antecedent of the relative clause, but this is not necessary and misconstrues the Greek with interpretive consequences (“part” of what?). The syntax here is a little compressed but basically clear, and B handles it very well.",2026-01-06T02:34:23.463Z
79bbfaf3c107fc0e,Expert_09,Greek Science; Other,,4,2,1,gemini,human1,gemini,1193,"I think these were both clear and competent. I quibble with A for mixing the declension of ""krasis"" which they import as a technical term into English. Initially it is ""krasis"", then later it seems to become an invented first declension form, ""krasia"".",2026-01-06T02:34:23.463Z
d59e7785faa61b0c,Expert_09,Greek Science; Other,,4,3,0,neutral,human1,openai,2929,"Stylistically, A reads a little more fluently. But B I think renders the genitive at the beginning of the phrase ""ταύτης δέ τις ἑτέρα"" correctly as a gen. of comparison, whereas A does renders it more as partitive.",2026-01-06T02:34:23.463Z
6cb5637c89ef4ebb,Expert_09,Greek Science; Other,,4,5,-2,claude,claude,human1,2008,"A, much better than B, captures Galen's syntax and technical idiom. With regard to the latter, B's renderings of certain words (krateō, polu) are supported by LSJ, but not judiciously chosen.
Some particular points:
-- “Consume” of A for κρατοῦσιν is better than “have power over” of B, but something like “digest” (sv. LSJ II.3.b) would seem to better convey the physiological process implied here.
-- “the wetness” of B feels clumsy.
-- A better conveys Galen’s “polu” as a matter of degree, compared to B, which makes it a matter of consistency.
-- A better handles the compressed syntax (e.g. the genitives at the end of the clause) and technical idiom (e.g. ἀχυμώτων) of ἐμέτους τε γὰρ ἀπέπτων αὐτοῖς γίγνεσθαι σιτίων καὶ διαχωρήσεις ὑγρῶν καὶ τραχέων καὶ ἀχυμώτων.",2026-01-06T02:34:23.463Z
9898897c5b7cb5b6,Expert_09,Greek Science; Other,,4,9,2,human2,gemini,human2,83382,"Passage A is notably loose and imprecise throughout, both on the lexical level (e.g. ἐπαλειφθῇ as “rubbed into”) and but also on larger sense units. It struggles to render the syntax of a passage like καὶ μὲν δὴ καὶ ὡς θαῦμά τις ἐδείκνυ· ἀποσβεννὺς λύχνον αὖθις ἧπτε τοίχῳ προσφέρων· ἕτερος δὲ λίθῳ προσέφερεν.
Passage A is also out of step with modern, conventional idiom, with interpretive consequences: e.g. ""magic trick"" is anachronistic and misses the affective significance of θαῦμά; ""plantain"" for θρυαλλίδι is now confusingly archaic (at least to an American reader), what with the global offerings that have been on offer in the produce aisle for the last few decades.",2026-01-06T02:34:23.463Z
36917fe412c1a041,Expert_09,Greek Science; Other,,4,8,-2,openai,openai,human1,1100,"In the first line, B renders a particular nose as dry, but it is the people who are dry.
B’s rendering of “τοιοῦτον δέ τι τοὺς πλείστους αὐτῶν ἠπάτησεν, οὐχ ὑπὲρ τῶν ἀνθρώπων μόνον, ἀλλὰ καὶ περὶ τῶν ἄλλων ζῴων ἀποφήνασθαι τολμήσαντας ὑπὲρ ὅλης τῆς κράσεως ἐκ μόνων τῶν κατὰ τὸ δέρμα γνωρισμάτων.” is confusing: by separating the participle into its own, independent clause, the translation offers no syntactical connection to the τοὺς πλείστους, and so the latter is vaguely and ambiguously rendered.
B renders ξηρὸν as “hard”, which is inaccurate.
B’s translation of “ὀστρακοδέρμων” as “testacean” is awkward here, when Galen is explaining etymology.",2026-01-06T02:34:23.463Z
0241e6ba0ad7dca0,Expert_09,Greek Science; Other,,4,7,-1,human1,human1,claude,2278,"A is better than B, but I don't think B makes mistakes that significantly distort the Greek.

Some specific points:
- A retains the cultural connection of ostrakodes.
- B adds specificity that I don’t see in the Greek (e.g. “which is located IMMEDIATELY below the skin” for ὃς ὑποτέτακται τῷ δέρματι)
- B misses clauses like ἐν τῷδε.
- B translates ὑγρότεροι as “wetter”, but to my mind, “wetness” implies the condition of a surface, whereas something like A’s “moist” may imply something more essential.
- A renders the syntax of ὅπως μὴ λάθωμεν ἡμᾶς αὐτοὺς παρακούσαντές τι more precisely than B, but B basically gets the point across.
- Both A and B could better construe the εὐθὺς: neither connects it specifically to the doctors’ action of οἰόμενοι, but that seems to me to be what Galen is getting at.

",2026-01-06T02:34:23.463Z
7c7929ab8fbbba04,Expert_09,Greek Science; Other,,4,6,0,neutral,gemini,human1,3166,"There is something unscholarly about both A and B...

- A makes a mistake with anatomical consequences in its rendering of καὶ τι μέσον ἀμφοῖν σῶμα.
- B is clumsy in its rendering of κριτήριον δὲ καὶ τῆς τούτου διαγνώσεως ἡ ἁφή: e.g. strange that it renders κριτήριον as ""judge"" (rather than the obvious ""criterion"") and I don’t see why it adds “by reason” (in brackets) in the following passage.
",2026-01-06T02:34:23.463Z
35746180dcabef72,Expert_15,Post-Antique History of Medicine,,7,10,-2,gemini,gemini,human1,140,,2026-01-06T18:27:05.567Z
4f74009288d3f661,Expert_15,Post-Antique History of Medicine,,7,8,-1,openai,openai,human2,93,,2026-01-06T18:27:05.567Z
fcb3c99ad8a15ea9,Expert_15,Post-Antique History of Medicine,,7,3,-1,claude,claude,human1,75,,2026-01-06T18:27:05.567Z
e5ae54d5c7456ab5,Expert_15,Post-Antique History of Medicine,,7,7,1,human2,gemini,human2,51,,2026-01-06T18:27:05.567Z
f8e20fe1f042934d,Expert_15,Post-Antique History of Medicine,,7,4,-1,openai,openai,human1,32,,2026-01-06T18:27:05.567Z
484f5873d643b32a,Expert_15,Post-Antique History of Medicine,,7,6,-1,claude,claude,human2,50,,2026-01-06T18:27:05.567Z
390ba3c4c9897a26,Expert_15,Post-Antique History of Medicine,,7,1,1,human1,gemini,human1,41,,2026-01-06T18:27:05.567Z
64e62dc466b9f77e,Expert_15,Post-Antique History of Medicine,,7,2,0,neutral,openai,human1,46,,2026-01-06T18:27:05.567Z
bfec74c416ea1156,Expert_15,Post-Antique History of Medicine,,7,5,0,neutral,human2,claude,69,,2026-01-06T18:27:05.567Z
24a2275484a0c7fe,Expert_06,Other,,2,10,1,gemini,human1,gemini,80,,2026-01-10T08:47:49.645Z
4cd717bdd5f9cbe2,Expert_06,Other,,2,2,1,openai,human1,openai,45,,2026-01-10T08:47:49.645Z
4f08dfbe5a026c68,Expert_06,Other,,2,4,-1,human1,human1,claude,39,,2026-01-10T08:47:49.645Z
15bec8a48b7b9605,Expert_06,Other,,2,1,-1,gemini,gemini,human2,48,,2026-01-10T08:47:49.645Z
6506ef2da6079465,Expert_06,Other,,2,5,-1,human1,human1,openai,34,,2026-01-10T08:47:49.645Z
a8cc25adb4c3a9bd,Expert_06,Other,,2,8,1,claude,human2,claude,29,,2026-01-10T08:47:49.645Z
ddcf45d5f40041d0,Expert_06,Other,,2,9,-1,gemini,gemini,human2,20,,2026-01-10T08:47:49.645Z
790523bf5f47e593,Expert_06,Other,,2,6,-1,openai,openai,human2,2,,2026-01-10T08:47:49.645Z
